ID_N,CENTRE_N,TO_FROM_CENTRE_I,CENTRE_WEEK_DAY,CENTRE_TIME_RANGE,AM_CG,WC_N
1,AMK,(1) To Centre,(1) Mon,0800-0900,14,0
2,AMK,(1) To Centre,(1) Mon,0900-1000,12,1
